			t									t+1									
r	dc	ds	x	y	ts	tc	u		A	B	C	xNext	yNext	tcNext	tsNext						
0.2	6.0	14.0	0.00	0.00	0.00	0.00	0.00		0.200	0.200	0.000	-0.200	0.000	0.000	0.000						
0.2	6.0	14.0	0.00	0.00	3.14	3.14	0.00		0.200	0.200	0.000	0.200	0.000	3.142	3.142						
0.2	6.0	14.0	0.00	0.00	1.57	1.57	0.00		0.200	0.200	0.000	0.000	-0.200	1.571	1.571						
0.2	6.0	14.0	0.00	0.00	-1.57	-1.57	0.00		0.200	0.200	0.000	0.000	0.200	-1.571	-1.571						
0.2	6.0	14.0	0.00	0.00	0.00	0.00	0.61		0.164	0.164	0.000	-0.164	0.000	-0.019	0.000						
0.2	6.0	14.0	0.00	0.00	1.57	0.79	0.61		0.164	0.116	-0.116	0.000	-0.116	0.766	1.579						
																					
"Note that in excel the argument to atan2 is (x, y) while in C it is (y, x). This was a great source of confusion."																					
																					
																					
																					
																					
																					
